江西铜业 异动预警  数据区间 2026-07-30 ~ 2026-08-27  共146条
[2026-08-14] [中] 跳变            14:45  同槽较前日-61.7% (43,941->16,823手)
[2026-08-14] [中] 量价背离             全天  价涨1.2%但量比仅0.60
[2026-08-13] [中] 跳变            10:00  同槽较前日+81.2% (51,321->92,985手)
[2026-08-13] [中] 跳变            10:45  同槽较前日+90.8% (31,635->60,369手)
[2026-08-13] [中] 跳变            11:15  同槽较前日+84.2% (15,243->28,080手)
[2026-08-13] [高] 跳变            11:30  同槽较前日+104.5% (9,989->20,423手)
[2026-08-13] [高] 跳变            13:15  同槽较前日+230.8% (15,389->50,908手)
[2026-08-13] [高] 跳变            13:30  同槽较前日+185.8% (14,913->42,620手)
[2026-08-13] [高] 跳变            13:45  同槽较前日+144.9% (13,174->32,265手)
[2026-08-13] [中] 跳变            14:00  同槽较前日+63.8% (22,826->37,387手)
[2026-08-13] [高] 跳变            14:15  同槽较前日+226.1% (9,383->30,595手)
[2026-08-13] [高] 跳变            14:30  同槽较前日+173.2% (10,839->29,615手)
[2026-08-13] [高] 跳变            14:45  同槽较前日+193.4% (14,979->43,941手)
[2026-08-13] [中] 跳变            15:00  同槽较前日+61.3% (29,130->46,991手)
[2026-08-12] [中] 跳变            13:30  同槽较前日-64.2% (41,706->14,913手)
[2026-08-12] [中] 跳变            13:45  同槽较前日-83.9% (81,867->13,174手)
[2026-08-12] [中] 跳变            14:00  同槽较前日-57.9% (54,231->22,826手)
[2026-08-12] [中] 跳变            14:15  同槽较前日-81.4% (50,546->9,383手)
[2026-08-12] [中] 跳变            14:30  同槽较前日-79.7% (53,349->10,839手)
[2026-08-12] [中] 跳变            14:45  同槽较前日-74.8% (59,360->14,979手)
[2026-08-12] [中] 跳变            15:00  同槽较前日-50.8% (59,155->29,130手)
[2026-08-12] [中] 量价背离             全天  价涨1.3%但量比仅0.70
[2026-08-11] [中] 跳变            10:45  同槽较前日+74.8% (26,782->46,827手)
[2026-08-11] [高] 跳变            13:30  同槽较前日+169.4% (15,480->41,706手)
[2026-08-11] [高] 跳变            13:45  同槽较前日+174.9% (29,783->81,867手)
[2026-08-11] [中] 跳变            14:00  同槽较前日+58.2% (34,287->54,231手)
[2026-08-11] [中] 跳变            14:30  同槽较前日+83.1% (29,138->53,349手)
[2026-08-11] [高] 跳变            14:45  同槽较前日+166.8% (22,245->59,360手)
[2026-08-11] [中] 跳变            15:00  同槽较前日+64.1% (36,038->59,155手)
[2026-08-11] [高] 量价背离             全天  价跌-5.4%但量比达1.38
[2026-08-10] [中] 跳变            10:30  同槽较前日-66.6% (114,478->38,240手)
[2026-08-10] [中] 跳变            10:45  同槽较前日-58.3% (64,190->26,782手)
[2026-08-10] [中] 跳变            14:00  同槽较前日+53.1% (22,398->34,287手)
[2026-08-07] [高] 跳变            10:00  同槽较前日+109.6% (74,912->157,039手)
[2026-08-07] [中] 跳变            10:15  同槽较前日+83.6% (37,605->69,032手)
[2026-08-07] [高] 跳变            10:30  同槽较前日+254.2% (32,324->114,478手)
[2026-08-07] [中] 跳变            11:30  同槽较前日-62.2% (42,634->16,118手)
[2026-08-07] [高] 跳变            14:15  同槽较前日+141.3% (13,054->31,494手)
[2026-08-07] [中] 跳变            14:30  同槽较前日+87.3% (14,842->27,800手)
[2026-08-07] [中] 跳变            15:00  同槽较前日+66.4% (34,187->56,886手)
[2026-08-06] [中] 跳变            10:45  同槽较前日+67.7% (39,781->66,712手)
[2026-08-06] [高] 跳变            11:00  同槽较前日+152.2% (25,757->64,969手)
[2026-08-06] [中] 跳变            11:15  同槽较前日+65.5% (20,282->33,563手)
[2026-08-06] [高] 跳变            11:30  同槽较前日+156.2% (16,643->42,634手)
[2026-08-06] [中] 跳变            13:15  同槽较前日-63.0% (94,532->34,944手)
[2026-08-06] [中] 跳变            14:15  同槽较前日-66.7% (39,167->13,054手)
[2026-08-06] [高] 量价背离             全天  价跌-3.1%但量比达1.17
[2026-08-05] [高] 跳变            09:45  同槽较前日+192.8% (66,666->195,186手)
[2026-08-05] [高] 跳变            10:00  同槽较前日+139.2% (41,380->98,977手)
[2026-08-05] [中] 跳变            10:15  同槽较前日+56.4% (32,806->51,321手)
[2026-08-05] [高] 跳变            10:30  同槽较前日+110.6% (28,795->60,637手)
[2026-08-05] [高] 跳变            10:45  同槽较前日+114.7% (18,529->39,781手)
[2026-08-05] [中] 跳变            11:30  同槽较前日+56.7% (10,623->16,643手)
[2026-08-05] [中] 跳变            13:15  同槽较前日+64.4% (57,495->94,532手)
[2026-08-05] [中] 跳变            13:30  同槽较前日+96.9% (18,568->36,561手)
[2026-08-04] [中] 跳变            11:00  同槽较前日+52.4% (20,678->31,507手)
[2026-08-04] [高] 跳变            13:15  同槽较前日+211.1% (18,481->57,495手)
[2026-08-04] [中] 跳变            13:30  同槽较前日-58.1% (44,365->18,568手)
[2026-08-04] [中] 跳变            13:45  同槽较前日+77.8% (16,540->29,416手)
[2026-08-04] [高] 跳变            14:00  同槽较前日+300.1% (12,791->51,181手)
[2026-08-04] [高] 跳变            14:15  同槽较前日+348.0% (8,417->37,710手)
[2026-08-04] [中] 量价背离             全天  价涨2.3%但量比仅0.80
[2026-08-03] [中] 跳变            10:15  同槽较前日-60.5% (80,526->31,841手)
[2026-08-03] [中] 跳变            11:15  同槽较前日-55.3% (35,038->15,653手)
[2026-07-31] [中] 跳变            10:00  同槽较前日+58.6% (41,251->65,443手)
[2026-07-31] [高] 跳变            10:15  同槽较前日+107.9% (38,725->80,526手)
[2026-07-31] [中] 跳变            10:30  同槽较前日+52.2% (27,187->41,370手)
[2026-07-31] [高] 跳变            11:15  同槽较前日+116.0% (16,220->35,038手)
[2026-07-31] [高] 跳变            13:30  同槽较前日+109.9% (14,329->30,081手)
[2026-07-31] [中] 跳变            13:45  同槽较前日+56.9% (8,761->13,746手)
[2026-07-31] [中] 跳变            14:30  同槽较前日+89.4% (10,044->19,028手)
