工业富联 异动预警  数据区间 2026-07-29 ~ 2026-08-26  共109条
[2026-08-05] [高] 跳变            09:45  同槽较前日+125.5% (304,710->687,207手)
[2026-08-05] [中] 跳变            10:00  同槽较前日+57.8% (200,848->316,953手)
[2026-08-05] [中] 跳变            10:15  同槽较前日+66.8% (153,847->256,594手)
[2026-08-05] [高] 跳变            10:30  同槽较前日+125.2% (46,934->105,689手)
[2026-08-05] [中] 跳变            10:45  同槽较前日+75.9% (45,454->79,936手)
[2026-08-05] [高] 跳变            11:00  同槽较前日+383.2% (35,568->171,850手)
[2026-08-05] [高] 跳变            13:15  同槽较前日+260.3% (106,569->383,946手)
[2026-08-05] [中] 跳变            13:45  同槽较前日-80.8% (128,079->24,588手)
[2026-08-05] [中] 跳变            14:00  同槽较前日-82.1% (102,650->18,416手)
[2026-08-05] [中] 跳变            14:15  同槽较前日-59.6% (91,167->36,825手)
[2026-08-05] [高] 跳变            14:30  同槽较前日+473.7% (61,921->355,250手)
[2026-08-04] [中] 跳变            09:45  同槽较前日+51.4% (201,243->304,710手)
[2026-08-04] [中] 跳变            10:00  同槽较前日+75.2% (114,662->200,848手)
[2026-08-04] [高] 跳变            10:15  同槽较前日+195.0% (52,145->153,847手)
[2026-08-04] [中] 跳变            13:15  同槽较前日+86.8% (57,061->106,569手)
[2026-08-04] [高] 跳变            13:45  同槽较前日+416.4% (24,804->128,079手)
[2026-08-04] [高] 跳变            14:00  同槽较前日+271.4% (27,640->102,650手)
[2026-08-04] [高] 跳变            14:15  同槽较前日+121.0% (41,256->91,167手)
[2026-08-04] [高] 跳变            14:30  同槽较前日+130.1% (26,914->61,921手)
[2026-08-04] [高] 跳变            14:45  同槽较前日+271.4% (30,622->113,717手)
[2026-08-04] [高] 跳变            15:00  同槽较前日+118.8% (48,868->106,914手)
[2026-08-03] [中] 跳变            09:45  同槽较前日-58.4% (484,334->201,243手)
[2026-08-03] [中] 跳变            11:15  同槽较前日+64.7% (47,456->78,142手)
[2026-08-03] [高] 跳变            11:30  同槽较前日+194.5% (28,887->85,086手)
[2026-08-03] [中] 跳变            13:30  同槽较前日-65.7% (91,894->31,516手)
[2026-07-31] [高] 跳变            09:45  同槽较前日+144.6% (198,022->484,334手)
[2026-07-31] [中] 跳变            10:15  同槽较前日-51.6% (205,888->99,612手)
[2026-07-30] [中] 跳变            10:30  同槽较前日+57.0% (91,360->143,457手)
[2026-07-30] [高] 跳变            10:45  同槽较前日+122.5% (55,064->122,513手)
[2026-07-30] [中] 跳变            11:15  同槽较前日+82.8% (36,871->67,382手)
[2026-07-30] [中] 跳变            11:30  同槽较前日+59.6% (31,185->49,759手)
[2026-07-30] [中] 跳变            13:30  同槽较前日+76.6% (44,755->79,059手)
[2026-07-30] [中] 跳变            14:30  同槽较前日+70.9% (29,379->50,211手)
[2026-07-30] [高] 量价背离             全天  价跌-5.6%但量比达1.11
