迈瑞医疗 异动预警  数据区间 2026-07-28 ~ 2026-08-25  共107条
[2026-08-04] [中] 跳变            14:30  同槽较前日+56.5% (3,165->4,954手)
[2026-08-04] [中] 跳变            14:45  同槽较前日+70.9% (2,670->4,561手)
[2026-08-04] [中] 跳变            15:00  同槽较前日+72.1% (4,407->7,583手)
[2026-08-04] [高] 量价背离             全天  价跌-1.7%但量比达1.11
[2026-08-03] [中] 跳变            10:15  同槽较前日-50.1% (8,759->4,374手)
[2026-08-03] [中] 跳变            10:30  同槽较前日-53.4% (6,725->3,133手)
[2026-08-03] [中] 跳变            14:45  同槽较前日-52.4% (5,603->2,670手)
[2026-07-31] [中] 跳变            10:15  同槽较前日-51.1% (17,909->8,759手)
[2026-07-31] [中] 跳变            11:15  同槽较前日-64.4% (9,105->3,240手)
[2026-07-31] [中] 跳变            11:30  同槽较前日-62.9% (6,950->2,580手)
[2026-07-31] [中] 跳变            13:30  同槽较前日-72.6% (13,821->3,783手)
[2026-07-31] [中] 跳变            13:45  同槽较前日-80.3% (14,384->2,840手)
[2026-07-31] [中] 跳变            14:00  同槽较前日-71.9% (10,096->2,841手)
[2026-07-30] [高] 跳变            10:00  同槽较前日+128.6% (9,505->21,728手)
[2026-07-30] [中] 跳变            10:15  同槽较前日+73.9% (10,296->17,909手)
[2026-07-30] [中] 跳变            11:00  同槽较前日-52.5% (9,641->4,582手)
[2026-07-30] [中] 跳变            13:45  同槽较前日+57.1% (9,156->14,384手)
[2026-07-30] [中] 跳变            14:00  同槽较前日+90.2% (5,308->10,096手)
[2026-07-30] [高] 跳变            14:15  同槽较前日+113.3% (4,027->8,589手)
[2026-07-30] [高] 跳变            14:45  同槽较前日+132.5% (4,708->10,948手)
[2026-07-29] [中] 跳变            09:45  同槽较前日+78.2% (9,086->16,194手)
[2026-07-29] [中] 跳变            10:15  同槽较前日+95.2% (5,274->10,296手)
[2026-07-29] [中] 跳变            10:30  同槽较前日+63.0% (3,982->6,492手)
[2026-07-29] [高] 跳变            10:45  同槽较前日+137.8% (3,589->8,536手)
[2026-07-29] [高] 跳变            11:00  同槽较前日+152.7% (3,815->9,641手)
[2026-07-29] [高] 跳变            11:15  同槽较前日+171.9% (3,936->10,702手)
[2026-07-29] [中] 跳变            11:30  同槽较前日-56.2% (19,317->8,467手)
[2026-07-29] [高] 跳变            13:30  同槽较前日+152.1% (3,921->9,883手)
[2026-07-29] [高] 跳变            13:45  同槽较前日+175.3% (3,326->9,156手)
[2026-07-29] [中] 跳变            14:00  同槽较前日+85.3% (2,865->5,308手)
[2026-07-29] [中] 跳变            14:30  同槽较前日+58.1% (3,676->5,813手)
[2026-07-28] [中] 量价背离             全天  价涨1.3%但量比仅0.88
