海澜之家 异动预警  数据区间 2026-07-29 ~ 2026-08-26  共87条
[2026-08-03] [中] 跳变            13:45  同槽较前日+83.2% (15,695->28,753手)
[2026-08-03] [中] 跳变            14:00  同槽较前日+68.7% (15,554->26,234手)
[2026-08-03] [中] 跳变            14:30  同槽较前日+94.0% (16,628->32,263手)
[2026-08-03] [中] 跳变            15:00  同槽较前日-55.7% (46,740->20,724手)
[2026-07-31] [中] 跳变            09:45  同槽较前日+60.4% (58,559->93,914手)
[2026-07-31] [中] 跳变            10:15  同槽较前日+59.0% (28,799->45,791手)
[2026-07-31] [中] 跳变            11:30  同槽较前日-51.3% (19,261->9,382手)
[2026-07-31] [中] 跳变            14:15  同槽较前日+98.1% (13,537->26,811手)
[2026-07-31] [中] 跳变            14:45  同槽较前日+60.6% (19,926->32,003手)
[2026-07-30] [中] 跳变            11:15  同槽较前日-51.8% (29,212->14,074手)
[2026-07-30] [高] 跳变            11:30  同槽较前日+111.8% (9,094->19,261手)
[2026-07-30] [中] 跳变            14:30  同槽较前日+59.4% (19,253->30,692手)
