紫金矿业 异动预警  数据区间 2026-08-03 ~ 2026-08-31  共127条
[2026-08-12] [中] 跳变            10:15  同槽较前日-64.2% (623,039->223,214手)
[2026-08-12] [中] 跳变            10:30  同槽较前日-70.7% (415,829->121,708手)
[2026-08-12] [中] 跳变            10:45  同槽较前日-69.9% (416,046->125,039手)
[2026-08-12] [中] 跳变            11:00  同槽较前日-63.5% (183,915->67,129手)
[2026-08-12] [中] 跳变            11:15  同槽较前日-54.1% (117,494->53,956手)
[2026-08-12] [中] 跳变            13:15  同槽较前日-54.9% (179,819->81,076手)
[2026-08-12] [中] 跳变            13:45  同槽较前日-78.5% (232,121->49,909手)
[2026-08-12] [中] 跳变            14:15  同槽较前日-64.2% (213,170->76,412手)
[2026-08-12] [中] 跳变            14:30  同槽较前日-76.1% (268,278->64,172手)
[2026-08-12] [中] 跳变            14:45  同槽较前日-68.4% (327,347->103,373手)
[2026-08-12] [中] 跳变            15:00  同槽较前日-50.3% (246,149->122,239手)
[2026-08-12] [中] 量价背离             全天  价涨1.2%但量比仅0.73
[2026-08-11] [高] 跳变            10:15  同槽较前日+122.3% (280,246->623,039手)
[2026-08-11] [高] 跳变            10:30  同槽较前日+191.1% (142,843->415,829手)
[2026-08-11] [高] 跳变            10:45  同槽较前日+312.5% (100,857->416,046手)
[2026-08-11] [高] 跳变            11:00  同槽较前日+135.3% (78,178->183,915手)
[2026-08-11] [中] 跳变            11:15  同槽较前日+59.8% (73,509->117,494手)
[2026-08-11] [高] 跳变            11:30  同槽较前日+106.3% (50,776->104,742手)
[2026-08-11] [中] 跳变            13:30  同槽较前日+81.9% (121,494->221,041手)
[2026-08-11] [高] 跳变            13:45  同槽较前日+129.8% (100,996->232,121手)
[2026-08-11] [中] 跳变            14:15  同槽较前日+94.2% (109,758->213,170手)
[2026-08-11] [高] 跳变            14:30  同槽较前日+198.1% (89,992->268,278手)
[2026-08-11] [高] 跳变            14:45  同槽较前日+248.1% (94,051->327,347手)
[2026-08-11] [中] 跳变            15:00  同槽较前日+51.9% (162,020->246,149手)
[2026-08-11] [高] 量价背离             全天  价跌-7.0%但量比达1.59
[2026-08-10] [高] 跳变            13:15  同槽较前日+103.3% (88,420->179,728手)
[2026-08-10] [中] 跳变            14:00  同槽较前日+56.2% (127,976->199,840手)
[2026-08-07] [中] 跳变            09:45  同槽较前日-66.6% (1,492,780->498,538手)
[2026-08-07] [中] 跳变            11:30  同槽较前日-55.5% (106,352->47,355手)
